Specimen	Tissue	Treatment	Mouse		
Cecum_D1_M1_	Cecum	D1	M1		
Cecum_D1_M2_	Cecum	D1	M2		
Cecum_D1_M3_	Cecum	D1	M3		
Cecum_D1_M4_	Cecum	D1	M4		
Cecum_D1_M5_	Cecum	D1	M5		
Cecum_D3_M1_	Cecum	D3	M1		
Cecum_D3_M2_	Cecum	D3	M2		
Cecum_D3_M3_	Cecum	D3	M3		
Cecum_D3_M4_	Cecum	D3	M4		
Cecum_D3_M5_	Cecum	D3	M5		
Cecum_D5_M1_	Cecum	D5	M1		
Cecum_D5_M2_	Cecum	D5	M2		
Cecum_D5_M3_	Cecum	D5	M3		
Cecum_D5_M4_	Cecum	D5	M4		
Cecum_D5_M5_	Cecum	D5	M5		
Cecum_D7_M1_	Cecum	D7	M1		
Cecum_D7_M2_	Cecum	D7	M2		
Cecum_D7_M3_	Cecum	D7	M3		
Cecum_D7_M4_	Cecum	D7	M4		
Cecum_D7_M5_	Cecum	D7	M5		
Cecum_Un_M1_	Cecum	Un	M1		
Cecum_Un_M2_	Cecum	Un	M2		
Cecum_Un_M3_	Cecum	Un	M3		
Cecum_Un_M4_	Cecum	Un	M4		
Cecum_Un_M5_	Cecum	Un	M5		
Colon_D1_M1_	Colon	D1	M1		
Colon_D1_M2_	Colon	D1	M2		
Colon_D1_M3_	Colon	D1	M3		
Colon_D1_M4_	Colon	D1	M4		
Colon_D1_M5_	Colon	D1	M5		
Colon_D3_M1_	Colon	D3	M1		
Colon_D3_M2_	Colon	D3	M2		
Colon_D3_M3_	Colon	D3	M3		
Colon_D3_M4_	Colon	D3	M4		
Colon_D3_M5_	Colon	D3	M5		
Colon_D5_M1_	Colon	D5	M1		
Colon_D5_M2_	Colon	D5	M2		
Colon_D5_M3_	Colon	D5	M3		
Colon_D5_M4_	Colon	D5	M4		
Colon_D5_M5_	Colon	D5	M5		
Colon_D7_M1_	Colon	D7	M1		
Colon_D7_M2_	Colon	D7	M2		
Colon_D7_M3_	Colon	D7	M3		
Colon_D7_M4_	Colon	D7	M4		
Colon_D7_M5_	Colon	D7	M5		
Colon_Un_M1_	Colon	Un	M1		
Colon_Un_M2_	Colon	Un	M2		
Colon_Un_M3_	Colon	Un	M3		
Colon_Un_M4_	Colon	Un	M4		
Colon_Un_M5_	Colon	Un	M5		
Feces_D1_D0A	Feces	D1	D0A		
Feces_D1_D0B	Feces	D1	D0B		
Feces_D1_D1A	Feces	D1	D1A		
Feces_D1_D1B	Feces	D1	D1B		
Feces_D3_D0A	Feces	D3	D0A		
Feces_D3_D0B	Feces	D3	D0B		
Feces_D3_D1A	Feces	D3	D1A		
Feces_D3_D1B	Feces	D3	D1B		
Feces_D3_D2A	Feces	D3	D2A		
Feces_D3_D2B	Feces	D3	D2B		
Feces_D3_D3A	Feces	D3	D3A		
Feces_D3_D3B	Feces	D3	D3B		
Feces_D5_D0A	Feces	D5	D0A		
Feces_D5_D0B	Feces	D5	D0B		
Feces_D5_D1A	Feces	D5	D1A		
Feces_D5_D1B	Feces	D5	D1B		
Feces_D5_D2A	Feces	D5	D2A		
Feces_D5_D2B	Feces	D5	D2B		
Feces_D5_D3A	Feces	D5	D3A		
Feces_D5_D3B	Feces	D5	D3B		
Feces_D5_D4A	Feces	D5	D4A		
Feces_D5_D4B	Feces	D5	D4B		
Feces_D5_D5A	Feces	D5	D5A		
Feces_D5_D5B	Feces	D5	D5B		
Feces_D7_D0A	Feces	D7	D0A		
Feces_D7_D0B	Feces	D7	D0B		
Feces_D7_D1A	Feces	D7	D1A		
Feces_D7_D1B	Feces	D7	D1B		
Feces_D7_D2A	Feces	D7	D2A		
Feces_D7_D2B	Feces	D7	D2B		
Feces_D7_D3A	Feces	D7	D3A		
Feces_D7_D3B	Feces	D7	D3B		
Feces_D7_D4A	Feces	D7	D4A		
Feces_D7_D4B	Feces	D7	D4B		
Feces_D7_D5A	Feces	D7	D5A		
Feces_D7_D5B	Feces	D7	D5B		
Feces_D7_D6A	Feces	D7	D6A		
Feces_D7_D6B	Feces	D7	D6B		
Feces_D7_D7A	Feces	D7	D7A		
Feces_D7_D7B	Feces	D7	D7B		
Feces_Un_D0A	Feces	Un	D0A		
Feces_Un_D0B	Feces	Un	D0B		
Feces_Un_D1A	Feces	Un	D1A		
